id,latitude,longitude,name
1,51.5028,-0.2801,Acton Town
2,51.5143,-0.0755,Aldgate
3,51.5154,-0.0726,Aldgate East
4,51.5107,-0.013,All Saints
5,51.5407,-0.2997,Alperton
7,51.5322,-0.1058,Angel
8,51.5653,-0.1353,Archway
9,51.6164,-0.1331,Arnos Grove
10,51.5586,-0.1059,Arsenal
11,51.5226,-0.1571,Baker Street
12,51.4431,-0.1525,Balham
13,51.5133,-0.0886,Bank
14,51.5204,-0.0979,Barbican
15,51.5396,0.081,Barking
16,51.5856,0.0887,Barkingside
17,51.4905,-0.2139,Barons Court
18,51.5121,-0.1879,Bayswater
19,51.5148,0.0613,Beckton
20,51.5087,0.055,Beckton Park
21,51.5403,0.127,Becontree
22,51.5504,-0.1642,Belsize Park
24,51.527,-0.0549,Bethnal Green
25,51.512,-0.1031,Blackfriars
26,51.5867,-0.0417,Blackhorse Road
27,51.5079,-0.0066,Blackwall
28,51.5142,-0.1494,Bond Street
29,51.5011,-0.0943,Borough
30,51.4956,-0.325,Boston Manor
31,51.6071,-0.1243,Bounds Green
32,51.5273,-0.0208,Bow Church
33,51.5269,-0.0247,Bow Road
34,51.5766,-0.2136,Brent Cross
36,51.5248,-0.0119,Bromley-By-Bow
38,51.6028,-0.2641,Burnt Oak
39,51.5481,-0.1188,Caledonian Road
40,51.5392,-0.1426,Camden Town
42,51.5051,-0.0209,Canary Wharf
44,51.5113,-0.0904,Cannon Street
45,51.6078,-0.2947,Canons Park
47,51.5441,-0.1538,Chalk Farm
48,51.5185,-0.1111,Chancery Lane
49,51.508,-0.1247,Charing Cross
51,51.6177,0.0755,Chigwell
52,51.4946,-0.2678,Chiswick Park
54,51.4618,-0.1384,Clapham Common
55,51.4649,-0.1299,Clapham North
56,51.4527,-0.148,Clapham South
58,51.5955,-0.2502,Colindale
59,51.418,-0.1778,Colliers Wood
60,51.5129,-0.1243,Covent Garden
61,51.4957,-0.0144,Crossharbour & London Arena
63,51.5095,0.0276,Custom House
65,51.5085,0.064,Cyprus
66,51.5443,0.1655,Dagenham East
67,51.5417,0.1469,Dagenham Heathway
70,51.5223,-0.0173,Devons Road
71,51.552,-0.2387,Dollis Hill
72,51.5152,-0.3017,Ealing Broadway
73,51.5101,-0.2882,Ealing Common
74,51.492,-0.1973,Earls Court
75,51.5765,-0.397,Eastcote
76,51.5168,-0.2474,East Acton
77,51.5874,-0.165,East Finchley
78,51.5394,0.0518,East Ham
79,51.5093,-0.0021,East India
80,51.4586,-0.2112,East Putney
81,51.6137,-0.275,Edgware
82,51.5199,-0.1679,Edgware Road (B)
83,51.5203,-0.17,Edgware Road (C)
84,51.4943,-0.1001,Elephant & Castle
85,51.5496,0.1977,Elm Park
87,51.5074,-0.1223,Embankment
89,51.5282,-0.1337,Euston
90,51.526,-0.1359,Euston Square
91,51.596,0.0912,Fairlop
92,51.5203,-0.1053,Farringdon
93,51.6012,-0.1932,Finchley Central
94,51.5472,-0.1803,Finchley Road
95,51.5642,-0.1065,Finsbury Park
96,51.4804,-0.195,Fulham Broadway
